,Unnamed: 0.1,Unnamed: 0,slang_words,Tokens,Tokens_Tanpa_Stopwords,Stem
0,0,0,lalu,['lalu'],"['l', 'a', 'l', 'u']","['', '', '', '', '', '', '', '', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'u', '', '', '', '', '', '', '', '', '', '', '', '']"
1,1,1,ada,['ada'],"['a', 'd', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'a', '', '', '', '', 'd', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
2,2,2,raka,['raka'],"['r', 'a', 'k', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'r', '', '', '', '', 'a', '', '', '', '', 'k', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
3,3,3,menjadi,['menjadi'],"['m', 'e', 'n', 'j', 'a', 'd', 'i']","['', '', '', '', '', '', '', '', '', '', '', '', 'm', '', '', '', '', 'e', '', '', '', '', 'n', '', '', '', '', 'j', '', '', '', '', 'a', '', '', '', '', 'd', '', '', '', '', 'i', '', '', '', '', '', '', '', '', '', '', '', '']"
4,4,4,gubernur,['gubernur'],"['g', 'u', 'b', 'e', 'r', 'n', 'u', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 'g', '', '', '', '', 'u', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'r', '', '', '', '', 'n', '', '', '', '', 'u', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
5,5,5,timur,['timur'],"['t', 'i', 'm', 'u', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 't', '', '', '', '', 'i', '', '', '', '', 'm', '', '', '', '', 'u', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
6,6,6,beberapa,['beberapa'],"['b', 'e', 'b', 'e', 'r', 'a', 'p', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'r', '', '', '', '', 'a', '', '', '', '', 'p', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
7,7,7,bulan,['bulan'],"['b', 'u', 'l', 'a', 'n']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'u', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'n', '', '', '', '', '', '', '', '', '', '', '', '']"
8,8,8,lalu,['lalu'],"['l', 'a', 'l', 'u']","['', '', '', '', '', '', '', '', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'u', '', '', '', '', '', '', '', '', '', '', '', '']"
9,9,9,saat,['saat'],"['s', 'a', 'a', 't']","['', '', '', '', '', '', '', '', '', '', '', '', 's', '', '', '', '', 'a', '', '', '', '', 'a', '', '', '', '', 't', '', '', '', '', '', '', '', '', '', '', '', '']"
10,10,10,pindah,['pindah'],"['p', 'i', 'n', 'd', 'a', 'h']","['', '', '', '', '', '', '', '', '', '', '', '', 'p', '', '', '', '', 'i', '', '', '', '', 'n', '', '', '', '', 'd', '', '', '', '', 'a', '', '', '', '', 'h', '', '', '', '', '', '', '', '', '', '', '', '']"
11,11,11,dari,['dari'],"['d', 'a', 'r', 'i']","['', '', '', '', '', '', '', '', '', '', '', '', 'd', '', '', '', '', 'a', '', '', '', '', 'r', '', '', '', '', 'i', '', '', '', '', '', '', '', '', '', '', '', '']"
12,12,12,masuk,['masuk'],"['m', 'a', 's', 'u', 'k']","['', '', '', '', '', '', '', '', '', '', '', '', 'm', '', '', '', '', 'a', '', '', '', '', 's', '', '', '', '', 'u', '', '', '', '', 'k', '', '', '', '', '', '', '', '', '', '', '', '']"
13,13,13,ke,['ke'],"['k', 'e']","['', '', '', '', '', '', '', '', '', '', '', '', 'k', '', '', '', '', 'e', '', '', '', '', '', '', '', '', '', '', '', '']"
14,14,14,pa,['pa'],"['p', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'p', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
15,15,15,menambahkan,['menambahkan'],"['m', 'e', 'n', 'a', 'm', 'b', 'a', 'h', 'k', 'a', 'n']","['', '', '', '', '', '', '', '', '', '', '', '', 'm', '', '', '', '', 'e', '', '', '', '', 'n', '', '', '', '', 'a', '', '', '', '', 'm', '', '', '', '', 'b', '', '', '', '', 'a', '', '', '', '', 'h', '', '', '', '', 'k', '', '', '', '', 'a', '', '', '', '', 'n', '', '', '', '', '', '', '', '', '', '', '', '']"
16,16,16,selain,['selain'],"['s', 'e', 'l', 'a', 'i', 'n']","['', '', '', '', '', '', '', '', '', '', '', '', 's', '', '', '', '', 'e', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'i', '', '', '', '', 'n', '', '', '', '', '', '', '', '', '', '', '', '']"
17,17,17,putra,['putra'],"['p', 'u', 't', 'r', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'p', '', '', '', '', 'u', '', '', '', '', 't', '', '', '', '', 'r', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
18,18,18,pres,['pres'],"['p', 'r', 'e', 's']","['', '', '', '', '', '', '', '', '', '', '', '', 'p', '', '', '', '', 'r', '', '', '', '', 'e', '', '', '', '', 's', '', '', '', '', '', '', '', '', '', '', '', '']"
19,19,19,belum,['belum'],"['b', 'e', 'l', 'u', 'm']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'l', '', '', '', '', 'u', '', '', '', '', 'm', '', '', '', '', '', '', '', '', '', '', '', '']"
20,20,20,jelas,['jelas'],"['j', 'e', 'l', 'a', 's']","['', '', '', '', '', '', '', '', '', '', '', '', 'j', '', '', '', '', 'e', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 's', '', '', '', '', '', '', '', '', '', '', '', '']"
21,21,21,sih,['sih'],"['s', 'i', 'h']","['', '', '', '', '', '', '', '', '', '', '', '', 's', '', '', '', '', 'i', '', '', '', '', 'h', '', '', '', '', '', '', '', '', '', '', '', '']"
22,22,22,berita,['berita'],"['b', 'e', 'r', 'i', 't', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'r', '', '', '', '', 'i', '', '', '', '', 't', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
23,23,23,kalau,['kalau'],"['k', 'a', 'l', 'a', 'u']","['', '', '', '', '', '', '', '', '', '', '', '', 'k', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'u', '', '', '', '', '', '', '', '', '', '', '', '']"
24,24,24,mas,['mas'],"['m', 'a', 's']","['', '', '', '', '', '', '', '', '', '', '', '', 'm', '', '', '', '', 'a', '', '', '', '', 's', '', '', '', '', '', '', '', '', '', '', '', '']"
25,25,25,kabar,['kabar'],"['k', 'a', 'b', 'a', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 'k', '', '', '', '', 'a', '', '', '', '', 'b', '', '', '', '', 'a', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
26,26,26,gabung,['gabung'],"['g', 'a', 'b', 'u', 'n', 'g']","['', '', '', '', '', '', '', '', '', '', '', '', 'g', '', '', '', '', 'a', '', '', '', '', 'b', '', '', '', '', 'u', '', '', '', '', 'n', '', '', '', '', 'g', '', '', '', '', '', '', '', '', '', '', '', '']"
27,27,27,jalan,['jalan'],"['j', 'a', 'l', 'a', 'n']","['', '', '', '', '', '', '', '', '', '', '', '', 'j', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'n', '', '', '', '', '', '', '', '', '', '', '', '']"
28,28,28,gatot,['gatot'],"['g', 'a', 't', 'o', 't']","['', '', '', '', '', '', '', '', '', '', '', '', 'g', '', '', '', '', 'a', '', '', '', '', 't', '', '', '', '', 'o', '', '', '', '', 't', '', '', '', '', '', '', '', '', '', '', '', '']"
29,29,29,di,['di'],"['d', 'i']","['', '', '', '', '', '', '', '', '', '', '', '', 'd', '', '', '', '', 'i', '', '', '', '', '', '', '', '', '', '', '', '']"
30,30,30,kota,['kota'],"['k', 'o', 't', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'k', '', '', '', '', 'o', '', '', '', '', 't', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
31,31,31,solo,['solo'],"['s', 'o', 'l', 'o']","['', '', '', '', '', '', '', '', '', '', '', '', 's', '', '', '', '', 'o', '', '', '', '', 'l', '', '', '', '', 'o', '', '', '', '', '', '', '', '', '', '', '', '']"
32,32,32,banjir,['banjir'],"['b', 'a', 'n', 'j', 'i', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'a', '', '', '', '', 'n', '', '', '', '', 'j', '', '', '', '', 'i', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
